id,user_id,date,time_of_day,age,device_type,subscription_tier,experience_level,is_weekend,time_spent_minutes,tasks_attempted,tasks_completed,avg_time_per_task_seconds,focus_score,interruption_count,battery_level,network_quality,screen_brightness,notification_count,goal_completed,completion_rate,age_group,day_of_week,tasks_per_minute,completion_ratio,day_of_month,month,year,rolling_mean_time_spent,completed
10499,308,2024-09-01,0,25,2,2,0,1,11.8,1,0,0.0,68.0,0.0,58.0,3,65,5,1,0.0,21-30,6,0.0847457627118644,0.0,1,9,2024,26.25,0
5956,170,2024-09-01,0,60,2,2,2,1,17.8,2,1,300.0,50.0,1.0,58.0,4,90,1,0,0.5,51-60,6,0.11235955056179775,0.5,1,9,2024,17.8,0
5957,170,2024-09-01,2,60,2,2,2,1,17.6,1,1,300.0,57.0,0.0,90.0,5,55,0,0,1.0,51-60,6,0.056818181818181816,1.0,1,9,2024,17.700000000000003,1
5992,171,2024-09-01,2,25,0,2,1,1,7.3,1,0,0.0,37.0,1.0,57.47041445091585,3,60,3,0,0.0,21-30,6,0.136986301369863,0.0,1,9,2024,7.3,0
6023,172,2024-09-01,0,40,1,2,1,1,20.0,2,1,300.0,74.0,1.0,61.0,2,61,0,0,0.5,31-40,6,0.1,0.5,1,9,2024,20.0,0
6024,172,2024-09-01,1,40,1,2,1,1,35.8,1,1,300.0,63.0,1.0,54.0,3,53,1,0,1.0,31-40,6,0.02793296089385475,1.0,1,9,2024,27.9,1
6078,174,2024-09-01,0,35,1,2,0,1,16.7,1,1,300.0,34.0,1.0,95.0,4,66,4,0,1.0,31-40,6,0.059880239520958084,1.0,1,9,2024,16.7,1
6111,175,2024-09-01,2,25,2,1,1,1,18.0,1,0,0.0,43.0,2.0,49.0,4,20,5,0,0.0,21-30,6,0.05555555555555555,0.0,1,9,2024,18.0,0
6133,176,2024-09-01,0,55,0,1,0,1,14.8,1,0,0.0,20.0,3.0,39.0,5,86,2,1,0.0,51-60,6,0.06756756756756756,0.0,1,9,2024,14.8,0
467,15,2024-09-01,2,50,2,0,1,1,12.1,2,1,300.0,56.0,1.0,54.0,4,100,3,0,0.5,41-50,6,0.1652892561983471,0.5,1,9,2024,12.1,0
466,15,2024-09-01,1,50,2,0,1,1,9.1,3,1,168.0,24.0,0.0,41.0,3,87,4,0,0.3333333333333333,41-50,6,0.32967032967032966,0.3333333333333333,1,9,2024,10.6,0
6215,178,2024-09-01,1,55,1,2,1,1,25.4,6,2,249.0,61.0,1.0,21.0,4,79,5,0,0.3333333333333333,51-60,6,0.2362204724409449,0.3333333333333333,1,9,2024,25.4,0
6258,179,2024-09-01,1,45,2,0,1,1,21.8,1,1,300.0,39.0,3.0,83.0,4,90,2,0,1.0,41-50,6,0.04587155963302752,1.0,1,9,2024,21.8,1
5387,155,2024-09-01,1,30,0,0,1,1,5.0,4,1,63.0,76.0,1.0,94.0,4,79,1,1,0.25,21-30,6,0.8,0.25,1,9,2024,5.0,0
6259,179,2024-09-01,2,45,2,0,1,1,13.9,4,1,202.0,66.0,2.0,67.0,5,86,4,0,0.25,41-50,6,0.28776978417266186,0.25,1,9,2024,17.85,0
5386,155,2024-09-01,0,30,0,0,1,1,14.6,1,1,300.0,55.0,2.0,50.0,3,88,0,1,1.0,21-30,6,0.0684931506849315,1.0,1,9,2024,9.8,1
5361,154,2024-09-01,1,55,2,2,0,1,5.0,1,1,268.0,53.0,1.0,76.0,4,78,3,1,1.0,51-60,6,0.2,1.0,1,9,2024,5.0,1
4410,128,2024-09-01,1,35,2,1,2,1,29.7,1,1,300.0,16.0,3.0,85.0,4,36,3,1,1.0,31-40,6,0.03367003367003367,1.0,1,9,2024,29.7,1
10857,320,2024-09-01,2,50,0,2,2,1,15.7,1,0,0.0,82.0,0.0,45.0,4,35,4,0,0.0,41-50,6,0.06369426751592357,0.0,1,9,2024,15.7,0
4464,129,2024-09-01,0,50,0,2,1,1,20.9,1,0,0.0,21.0,1.0,53.0,4,100,5,0,0.0,41-50,6,0.04784688995215311,0.0,1,9,2024,20.9,0
687,22,2024-09-01,0,60,2,0,2,1,14.5,3,0,0.0,79.0,1.0,93.0,3,72,0,1,0.0,51-60,6,0.20689655172413793,0.0,1,9,2024,14.5,0
4510,130,2024-09-01,0,20,2,1,1,1,17.2,1,0,0.0,10.0,2.0,83.0,4,70,10,0,0.0,0-20,6,0.05813953488372093,0.0,1,9,2024,17.2,0
4554,132,2024-09-01,2,30,0,2,0,1,31.0,1,0,0.0,77.0,0.0,40.0,5,79,0,1,0.0,21-30,6,0.03225806451612903,0.0,1,9,2024,31.0,0
10811,319,2024-09-01,0,20,0,0,2,1,32.8,3,1,300.0,37.0,4.0,34.0,3,93,2,0,0.3333333333333333,0-20,6,0.09146341463414635,0.3333333333333333,1,9,2024,32.8,0
10768,318,2024-09-01,2,40,0,1,1,1,22.7,2,0,0.0,37.0,0.0,70.0,3,63,4,0,0.0,31-40,6,0.0881057268722467,0.0,1,9,2024,22.7,0
649,21,2024-09-01,2,50,1,2,2,1,26.8,1,0,0.0,58.0,2.0,49.0,5,42,1,0,0.0,41-50,6,0.03731343283582089,0.0,1,9,2024,26.8,0
648,21,2024-09-01,0,50,1,2,2,1,13.6,2,0,0.0,62.0,1.0,77.0,4,79,2,1,0.0,41-50,6,0.14705882352941177,0.0,1,9,2024,20.2,0
10767,318,2024-09-01,0,40,0,1,1,1,31.2,1,0,0.0,58.0,1.0,78.0,4,39,7,0,0.0,31-40,6,0.032051282051282055,0.0,1,9,2024,26.95,0
4871,140,2024-09-01,2,35,2,1,0,1,20.7,4,2,300.0,20.0,2.0,59.0,5,44,1,0,0.5,31-40,6,0.1932367149758454,0.5,1,9,2024,20.7,0
5008,146,2024-09-01,2,25,1,1,0,1,27.8,3,0,0.0,27.0,2.0,44.0,4,40,3,0,0.0,21-30,6,0.1079136690647482,0.0,1,9,2024,27.8,0
10722,317,2024-09-01,2,35,0,2,1,1,27.9,3,1,300.0,69.0,1.0,30.0,4,81,4,1,0.3333333333333333,31-40,6,0.10752688172043011,0.3333333333333333,1,9,2024,27.9,0
11745,346,2024-09-01,0,35,0,0,0,1,5.0,1,0,0.0,11.0,3.0,81.0,2,90,6,1,0.0,31-40,6,0.2,0.0,1,9,2024,5.0,0
5047,147,2024-09-01,0,35,0,1,1,1,36.1,3,0,0.0,17.0,2.0,49.0,4,72,6,0,0.0,31-40,6,0.08310249307479224,0.0,1,9,2024,36.1,0
5048,147,2024-09-01,2,35,0,1,1,1,19.8,3,0,0.0,35.0,5.0,23.0,5,63,0,1,0.0,31-40,6,0.15151515151515152,0.0,1,9,2024,27.950000000000003,0
5132,149,2024-09-01,1,60,2,0,2,1,37.4,2,1,300.0,43.0,2.0,31.0,4,33,6,0,0.5,51-60,6,0.053475935828877004,0.5,1,9,2024,37.4,0
5133,149,2024-09-01,2,60,2,0,2,1,15.9,4,2,191.0,47.0,2.0,57.0,5,77,1,0,0.5,51-60,6,0.25157232704402516,0.5,1,9,2024,26.65,0
5198,150,2024-09-01,1,50,1,2,0,1,5.0,1,0,0.0,30.0,2.0,58.0,5,79,2,0,0.0,41-50,6,0.2,0.0,1,9,2024,5.0,0
5199,150,2024-09-01,2,50,1,2,0,1,13.7,1,0,0.0,10.0,2.0,33.0,5,90,3,0,0.0,41-50,6,0.07299270072992702,0.0,1,9,2024,9.35,0
5228,151,2024-09-01,0,20,2,1,2,1,22.5,4,0,0.0,70.0,0.0,44.0,3,46,0,1,0.0,0-20,6,0.17777777777777778,0.0,1,9,2024,22.5,0
10671,315,2024-09-01,0,40,0,1,1,1,16.8,5,2,186.0,20.0,2.0,22.0,5,88,2,0,0.4,31-40,6,0.2976190476190476,0.4,1,9,2024,16.8,0
590,19,2024-09-01,2,30,1,2,1,1,10.1,4,0,0.0,43.0,1.0,33.0,5,85,7,0,0.0,21-30,6,0.39603960396039606,0.0,1,9,2024,10.1,0
11746,346,2024-09-01,1,35,0,0,0,1,17.0,1,0,0.0,39.0,4.0,42.0,4,53,3,1,0.0,31-40,6,0.058823529411764705,0.0,1,9,2024,11.0,0
5271,152,2024-09-01,1,20,0,2,0,1,23.7,4,2,300.0,75.0,0.0,94.0,4,74,1,1,0.5,0-20,6,0.16877637130801687,0.5,1,9,2024,23.7,0
5272,152,2024-09-01,2,20,0,2,0,1,38.5,4,3,300.0,96.0,1.0,79.0,3,32,1,1,0.75,0-20,6,0.1038961038961039,0.75,1,9,2024,31.1,0
1181,37,2024-09-01,1,55,0,1,0,1,25.4,2,1,300.0,93.0,0.0,87.0,4,53,2,0,0.5,51-60,6,0.07874015748031496,0.5,1,9,2024,25.4,0
4329,126,2024-09-01,0,45,2,2,1,1,8.1,1,1,300.0,45.0,2.0,37.0,5,53,1,0,1.0,41-50,6,0.1234567901234568,1.0,1,9,2024,8.1,1
10409,304,2024-09-01,1,45,0,1,0,1,16.1,1,1,300.0,48.0,1.0,63.0,5,50,2,1,1.0,41-50,6,0.06211180124223602,1.0,1,9,2024,16.1,1
6317,180,2024-09-01,2,60,2,0,0,1,26.8,2,1,300.0,24.0,2.0,25.0,5,81,4,0,0.5,51-60,6,0.07462686567164178,0.5,1,9,2024,26.8,0
7109,206,2024-09-01,1,40,1,1,2,1,20.3,1,0,0.0,76.0,1.0,47.0,4,63,1,1,0.0,31-40,6,0.04926108374384236,0.0,1,9,2024,20.3,0
336,11,2024-09-01,1,55,0,1,1,1,21.9,5,1,289.0,22.0,0.0,25.0,4,36,1,1,0.2,51-60,6,0.22831050228310504,0.2,1,9,2024,21.9,0
335,11,2024-09-01,0,55,0,1,1,1,12.7,1,0,0.0,27.0,0.0,51.0,4,98,0,0,0.0,51-60,6,0.07874015748031496,0.0,1,9,2024,17.299999999999997,0
7110,206,2024-09-01,2,40,1,1,2,1,20.3,2,1,300.0,28.0,1.0,54.0,3,42,2,0,0.5,31-40,6,0.09852216748768472,0.5,1,9,2024,20.3,0
7147,207,2024-09-01,0,40,0,2,0,1,5.0,1,0,0.0,68.0,1.0,87.0,2,73,3,0,0.0,31-40,6,0.2,0.0,1,9,2024,5.0,0
7164,208,2024-09-01,1,25,2,0,0,1,16.6,1,1,300.0,34.0,2.0,33.0,2,71,1,0,1.0,21-30,6,0.06024096385542168,1.0,1,9,2024,16.6,1
7194,209,2024-09-01,0,25,2,2,2,1,20.4,3,0,0.0,40.0,5.0,34.0,4,88,0,0,0.0,21-30,6,0.14705882352941177,0.0,1,9,2024,20.4,0
7195,209,2024-09-01,1,25,2,2,2,1,19.5,8,3,150.0,64.0,2.0,49.0,3,67,1,1,0.375,21-30,6,0.41025641025641024,0.375,1,9,2024,19.95,0
7196,209,2024-09-01,2,25,2,2,2,1,5.0,2,0,0.0,71.0,1.0,75.0,3,20,1,1,0.0,21-30,6,0.4,0.0,1,9,2024,14.966666666666667,0
10195,298,2024-09-01,0,35,0,2,2,1,28.8,3,3,300.0,100.0,1.0,20.0,5,63,0,1,1.0,31-40,6,0.10416666666666666,1.0,1,9,2024,28.8,1
7253,210,2024-09-01,1,40,2,0,2,1,18.4,1,1,300.0,61.0,2.0,26.0,2,29,2,0,1.0,31-40,6,0.05434782608695653,1.0,1,9,2024,18.4,1
7254,210,2024-09-01,2,40,2,0,2,1,7.6,3,2,183.0,65.0,0.0,62.0,4,63,3,0,0.6666666666666666,31-40,6,0.39473684210526316,0.6666666666666666,1,9,2024,13.0,0
7293,211,2024-09-01,0,45,2,0,2,1,21.2,4,2,300.0,40.0,2.0,67.0,5,56,4,0,0.5,41-50,6,0.18867924528301888,0.5,1,9,2024,21.2,0
7294,211,2024-09-01,2,45,2,0,2,1,23.5,2,0,0.0,43.0,4.0,70.0,5,80,6,1,0.0,41-50,6,0.0851063829787234,0.0,1,9,2024,22.35,0
301,10,2024-09-01,2,55,0,2,1,1,17.3,4,2,300.0,50.0,3.0,22.0,4,76,1,0,0.5,51-60,6,0.23121387283236994,0.5,1,9,2024,17.3,0
300,10,2024-09-01,0,55,0,2,1,1,24.9,1,0,0.0,69.0,1.0,77.0,4,76,1,0,0.0,51-60,6,0.040160642570281124,0.0,1,9,2024,21.1,0
7351,212,2024-09-01,1,35,2,2,1,1,22.1,1,0,0.0,61.0,3.0,82.0,4,100,2,0,0.0,31-40,6,0.04524886877828054,0.0,1,9,2024,22.1,0
11837,349,2024-09-01,0,30,2,0,0,1,9.0,1,0,0.0,76.0,3.0,26.0,4,46,2,0,0.0,21-30,6,0.1111111111111111,0.0,1,9,2024,9.0,0
10161,296,2024-09-01,2,40,0,0,1,1,19.1,2,0,0.0,38.0,5.0,40.0,5,100,3,0,0.0,31-40,6,0.10471204188481674,0.0,1,9,2024,19.1,0
7512,216,2024-09-01,1,30,2,0,1,1,5.2,1,1,294.0,50.0,0.0,29.0,5,63,3,0,1.0,21-30,6,0.1923076923076923,1.0,1,9,2024,5.2,1
10123,295,2024-09-01,1,40,0,0,2,1,18.6,2,0,0.0,69.0,1.0,84.0,5,80,1,0,0.0,31-40,6,0.1075268817204301,0.0,1,9,2024,18.6,0
7550,218,2024-09-01,1,45,1,0,1,1,5.0,2,0,0.0,69.0,4.0,39.0,5,48,3,0,0.0,41-50,6,0.4,0.0,1,9,2024,5.0,0
7628,220,2024-09-01,0,25,1,2,1,1,15.7,6,3,117.0,49.0,2.0,54.0,4,98,4,0,0.5,21-30,6,0.3821656050955414,0.5,1,9,2024,15.7,0
259,9,2024-09-01,2,45,2,2,2,1,29.5,5,3,300.0,47.0,1.0,95.0,4,78,0,1,0.6,41-50,6,0.1694915254237288,0.6,1,9,2024,29.5,0
258,9,2024-09-01,1,45,2,2,2,1,8.3,2,0,0.0,67.0,0.0,39.0,5,73,1,1,0.0,41-50,6,0.24096385542168672,0.0,1,9,2024,18.9,0
10096,294,2024-09-01,1,20,1,0,1,1,21.7,3,0,0.0,63.0,3.0,47.0,5,55,1,0,0.0,0-20,6,0.1382488479262673,0.0,1,9,2024,21.7,0
7691,222,2024-09-01,2,35,2,0,1,1,16.4,1,0,0.0,10.0,0.0,73.0,3,42,3,0,0.0,31-40,6,0.06097560975609757,0.0,1,9,2024,16.4,0
7083,205,2024-09-01,0,60,2,0,0,1,24.0,1,0,0.0,67.0,0.0,74.0,3,100,3,1,0.0,51-60,6,0.041666666666666664,0.0,1,9,2024,24.0,0
6316,180,2024-09-01,0,60,2,0,0,1,22.0,1,0,0.0,52.0,1.0,89.0,5,55,3,0,0.0,51-60,6,0.045454545454545456,0.0,1,9,2024,24.4,0
10235,299,2024-09-01,2,30,0,2,0,1,15.2,1,0,0.0,37.0,1.0,51.0,4,85,0,0,0.0,21-30,6,0.06578947368421052,0.0,1,9,2024,15.2,0
7001,203,2024-09-01,0,30,0,2,2,1,10.2,2,0,0.0,38.0,2.0,23.0,1,62,0,0,0.0,21-30,6,0.19607843137254904,0.0,1,9,2024,10.2,0
441,14,2024-09-01,2,20,1,1,2,1,6.0,2,0,0.0,49.0,0.0,33.0,4,83,3,1,0.0,0-20,6,0.3333333333333333,0.0,1,9,2024,6.0,0
6362,182,2024-09-01,1,40,1,1,0,1,9.5,2,2,300.0,39.0,3.0,38.0,2,45,1,1,1.0,31-40,6,0.21052631578947367,1.0,1,9,2024,9.5,1
6363,182,2024-09-01,2,40,1,1,0,1,5.0,1,0,0.0,56.0,0.0,66.0,4,40,1,0,0.0,31-40,6,0.2,0.0,1,9,2024,7.25,0
6397,183,2024-09-01,0,35,1,2,2,1,21.4,4,1,300.0,43.0,0.0,54.0,5,43,3,1,0.25,31-40,6,0.1869158878504673,0.25,1,9,2024,21.4,0
6398,183,2024-09-01,1,35,1,2,2,1,35.2,3,2,300.0,53.0,0.0,63.0,4,67,2,0,0.6666666666666666,31-40,6,0.08522727272727272,0.6666666666666666,1,9,2024,28.3,0
6399,183,2024-09-01,2,35,1,2,2,1,18.6,2,0,0.0,27.0,0.0,21.0,3,100,1,0,0.0,31-40,6,0.1075268817204301,0.0,1,9,2024,25.066666666666666,0
6482,185,2024-09-01,0,50,1,2,0,1,19.8,2,2,300.0,60.0,2.0,76.0,4,48,1,1,1.0,41-50,6,0.10101010101010101,1.0,1,9,2024,19.8,1
6483,185,2024-09-01,2,50,1,2,0,1,8.3,2,1,229.0,59.0,0.0,50.0,4,20,2,1,0.5,41-50,6,0.24096385542168672,0.5,1,9,2024,14.05,0
6554,188,2024-09-01,2,30,1,2,2,1,20.5,2,0,0.0,20.0,1.0,33.0,5,88,4,1,0.0,21-30,6,0.0975609756097561,0.0,1,9,2024,20.5,0
10346,303,2024-09-01,2,60,0,1,1,1,16.2,4,1,261.0,64.0,1.0,66.0,4,20,4,0,0.25,51-60,6,0.2469135802469136,0.25,1,9,2024,16.2,0
10345,303,2024-09-01,1,60,0,1,1,1,13.0,5,1,126.0,42.0,1.0,60.0,3,82,4,0,0.2,51-60,6,0.38461538461538464,0.2,1,9,2024,14.6,0
6622,190,2024-09-01,0,50,2,1,2,1,12.1,3,0,0.0,50.0,3.0,65.0,5,99,1,1,0.0,41-50,6,0.24793388429752067,0.0,1,9,2024,12.1,0
6623,190,2024-09-01,2,50,2,1,2,1,17.8,2,1,300.0,42.0,1.0,25.0,5,99,1,0,0.5,41-50,6,0.11235955056179775,0.5,1,9,2024,14.95,0
6719,193,2024-09-01,1,55,1,0,1,1,21.9,4,1,300.0,19.0,2.0,92.0,4,70,0,0,0.25,51-60,6,0.18264840182648404,0.25,1,9,2024,21.9,0
11804,348,2024-09-01,2,60,2,1,0,1,27.0,1,1,300.0,56.0,0.0,80.0,4,77,2,1,1.0,51-60,6,0.037037037037037035,1.0,1,9,2024,27.0,1
10315,302,2024-09-01,2,25,1,0,2,1,16.4,3,2,286.0,66.0,1.0,42.0,5,64,3,0,0.6666666666666666,21-30,6,0.1829268292682927,0.6666666666666666,1,9,2024,16.4,0
6754,194,2024-09-01,0,45,2,2,1,1,16.1,2,0,0.0,48.0,3.0,29.0,4,71,1,1,0.0,41-50,6,0.12422360248447203,0.0,1,9,2024,16.1,0
6755,194,2024-09-01,2,45,2,2,1,1,8.6,1,0,0.0,49.0,4.0,36.0,4,83,1,0,0.0,41-50,6,0.11627906976744186,0.0,1,9,2024,12.350000000000001,0
10291,301,2024-09-01,2,50,0,1,0,1,22.8,2,1,300.0,46.0,1.0,26.0,4,84,7,0,0.5,41-50,6,0.08771929824561403,0.5,1,9,2024,22.8,0
374,12,2024-09-01,1,20,2,2,1,1,17.2,3,3,300.0,93.0,1.0,52.0,5,56,2,1,1.0,0-20,6,0.1744186046511628,1.0,1,9,2024,17.2,1
6830,197,2024-09-01,0,25,0,0,1,1,27.1,2,1,300.0,25.0,0.0,68.0,4,99,1,1,0.5,21-30,6,0.07380073800738007,0.5,1,9,2024,27.1,0
6831,197,2024-09-01,2,25,0,0,1,1,17.0,3,0,0.0,45.0,1.0,73.0,4,36,5,0,0.0,21-30,6,0.17647058823529413,0.0,1,9,2024,22.05,0
6863,198,2024-09-01,0,45,2,1,0,1,20.7,3,2,300.0,69.0,0.0,54.0,4,79,2,1,0.6666666666666666,41-50,6,0.14492753623188406,0.6666666666666666,1,9,2024,20.7,0
6926,200,2024-09-01,0,55,2,1,0,1,15.3,1,0,0.0,55.0,1.0,34.0,4,26,4,0,0.0,51-60,6,0.06535947712418301,0.0,1,9,2024,15.3,0
10266,300,2024-09-01,0,30,0,0,2,1,13.0,2,2,300.0,98.0,2.0,71.0,4,63,3,1,1.0,21-30,6,0.15384615384615385,1.0,1,9,2024,13.0,1
6951,201,2024-09-01,0,45,1,1,2,1,5.5,1,0,0.0,69.0,1.0,26.0,3,85,5,0,0.0,41-50,6,0.18181818181818182,0.0,1,9,2024,5.5,0
6952,201,2024-09-01,2,45,1,1,2,1,13.4,6,2,146.0,51.0,1.0,78.0,4,45,3,1,0.3333333333333333,41-50,6,0.44776119402985076,0.3333333333333333,1,9,2024,9.45,0
7051,204,2024-09-01,2,20,0,2,1,1,11.2,4,1,142.0,30.0,1.0,44.0,5,100,2,0,0.25,0-20,6,0.35714285714285715,0.25,1,9,2024,11.2,0
10095,294,2024-09-01,0,20,1,0,1,1,5.9,1,1,300.0,66.0,1.0,71.0,3,63,1,0,1.0,0-20,6,0.1694915254237288,1.0,1,9,2024,13.8,1
4301,125,2024-09-01,1,25,0,1,0,1,17.4,3,0,0.0,56.0,2.0,85.0,4,51,4,0,0.0,21-30,6,0.1724137931034483,0.0,1,9,2024,17.4,0
4176,122,2024-09-01,0,40,1,0,2,1,14.7,1,0,0.0,25.0,0.0,46.0,3,62,3,0,0.0,31-40,6,0.06802721088435375,0.0,1,9,2024,14.7,0
1925,58,2024-09-01,1,50,1,1,2,1,16.4,1,0,0.0,40.0,1.0,39.0,3,100,4,0,0.0,41-50,6,0.06097560975609757,0.0,1,9,2024,16.4,0
1926,58,2024-09-01,2,50,1,1,2,1,8.7,2,1,250.0,69.0,1.0,28.0,4,58,3,0,0.5,41-50,6,0.2298850574712644,0.5,1,9,2024,12.549999999999999,0
1037,33,2024-09-01,2,50,2,1,0,1,9.8,2,0,0.0,47.0,3.0,72.0,4,76,3,0,0.0,41-50,6,0.2040816326530612,0.0,1,9,2024,9.8,0
1987,60,2024-09-01,2,35,2,0,2,1,23.4,4,0,0.0,56.0,1.0,92.0,5,27,3,0,0.0,31-40,6,0.17094017094017094,0.0,1,9,2024,23.4,0
2013,61,2024-09-01,0,45,2,0,0,1,24.4,3,2,300.0,65.0,6.0,55.0,2,83,5,1,0.6666666666666666,41-50,6,0.12295081967213116,0.6666666666666666,1,9,2024,24.4,0
2014,61,2024-09-01,1,45,2,0,0,1,29.4,1,0,0.0,59.0,0.0,90.0,2,39,1,0,0.0,41-50,6,0.034013605442176874,0.0,1,9,2024,26.9,0
2015,61,2024-09-01,2,45,2,0,0,1,37.4,2,1,300.0,62.0,0.0,36.0,5,36,6,1,0.5,41-50,6,0.053475935828877004,0.5,1,9,2024,30.399999999999995,0
2078,62,2024-09-01,1,35,1,0,1,1,33.1,2,1,300.0,56.0,1.0,85.0,5,84,3,0,0.5,31-40,6,0.060422960725075525,0.5,1,9,2024,33.1,0
1014,32,2024-09-01,0,35,1,0,0,1,18.9,1,0,0.0,80.0,3.0,23.0,4,83,0,0,0.0,31-40,6,0.052910052910052914,0.0,1,9,2024,18.9,0
2120,63,2024-09-01,0,35,0,2,1,1,47.0,8,0,0.0,14.0,2.0,37.0,4,74,6,0,0.0,31-40,6,0.1702127659574468,0.0,1,9,2024,47.0,0
2121,63,2024-09-01,2,35,0,2,1,1,24.0,2,0,0.0,45.0,2.0,23.0,4,44,3,0,0.0,31-40,6,0.08333333333333333,0.0,1,9,2024,35.5,0
2232,66,2024-09-01,0,55,2,0,2,1,5.0,2,0,0.0,16.0,2.0,33.0,3,69,2,0,0.0,51-60,6,0.4,0.0,1,9,2024,5.0,0
2257,67,2024-09-01,0,40,0,1,0,1,25.1,1,1,300.0,43.0,0.0,33.0,3,67,3,1,1.0,31-40,6,0.0398406374501992,1.0,1,9,2024,25.1,1
2258,67,2024-09-01,1,40,0,1,0,1,27.0,3,1,300.0,64.0,1.0,59.0,5,62,3,0,0.3333333333333333,31-40,6,0.1111111111111111,0.3333333333333333,1,9,2024,26.05,0
2259,67,2024-09-01,2,40,0,1,0,1,12.5,1,0,0.0,51.0,2.0,43.0,4,76,0,0,0.0,31-40,6,0.08,0.0,1,9,2024,21.53333333333333,0
2303,68,2024-09-01,0,40,2,1,2,1,20.4,5,3,300.0,56.0,4.0,48.0,3,52,3,0,0.6,31-40,6,0.2450980392156863,0.6,1,9,2024,20.4,0
2304,68,2024-09-01,2,40,2,1,2,1,15.4,6,2,205.0,28.0,3.0,84.0,4,75,6,0,0.3333333333333333,31-40,6,0.38961038961038963,0.3333333333333333,1,9,2024,17.9,0
11346,334,2024-09-01,2,25,2,1,2,1,35.0,4,1,300.0,61.0,2.0,41.0,5,45,2,1,0.25,21-30,6,0.11428571428571428,0.25,1,9,2024,35.0,0
2398,70,2024-09-01,0,50,0,1,1,1,27.6,5,2,300.0,93.0,1.0,68.0,4,84,2,0,0.4,41-50,6,0.18115942028985507,0.4,1,9,2024,27.6,0
2399,70,2024-09-01,1,50,0,1,1,1,8.9,6,2,93.0,64.0,0.0,89.0,5,100,1,0,0.3333333333333333,41-50,6,0.6741573033707865,0.3333333333333333,1,9,2024,18.25,0
2438,71,2024-09-01,0,30,2,0,1,1,24.8,3,1,300.0,77.0,0.0,51.0,4,50,0,1,0.3333333333333333,21-30,6,0.12096774193548386,0.3333333333333333,1,9,2024,24.8,0
